# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 4.005029052495956421e-02 2.820436470210552216e-02 7.377362847328186035e-01 4.043465107679367065e-02 2.820436470210552216e-02 7.377362847328186035e-01
1.000000000000000000e+03 1.801319047808647156e-02 3.832494467496871948e-02 8.362030237913131714e-02 1.031104102730751038e-02 3.832494840025901794e-02 8.362030237913131714e-02
2.000000000000000000e+03 1.482946332544088364e-02 2.868142724037170410e-02 4.877434298396110535e-02 9.387934580445289612e-03 2.868142724037170410e-02 4.877434298396110535e-02
3.000000000000000000e+03 1.444051042199134827e-02 2.597782015800476074e-02 4.361353814601898193e-02 1.018602959811687469e-02 2.597782015800476074e-02 4.361354187130928040e-02
4.000000000000000000e+03 1.142346113920211792e-02 1.672885753214359283e-02 3.100219927728176117e-02 7.144234143197536469e-03 1.672885380685329437e-02 3.100219741463661194e-02
5.000000000000000000e+03 6.982501130551099777e-03 4.875441081821918488e-03 9.833557531237602234e-03 4.647569265216588974e-03 4.875438753515481949e-03 9.833556599915027618e-03
6.000000000000000000e+03 5.036737769842147827e-03 3.837265772745013237e-03 5.953816697001457214e-03 3.597271395847201347e-03 3.837270429357886314e-03 5.953817162662744522e-03
7.000000000000000000e+03 4.332608077675104141e-03 3.072007559239864349e-03 4.378113429993391037e-03 3.166459966450929642e-03 3.072008490562438965e-03 4.378114826977252960e-03
8.000000000000000000e+03 3.843029495328664780e-03 1.663763890974223614e-03 2.757455222308635712e-03 2.890519099310040474e-03 1.663764938712120056e-03 2.757455455139279366e-03
9.000000000000000000e+03 3.381662769243121147e-03 6.233117892406880856e-04 1.539793214760720730e-03 2.498587593436241150e-03 6.233108579181134701e-04 1.539793680422008038e-03
1.000000000000000000e+04 2.840365050360560417e-03 4.921207437291741371e-04 1.157397986389696598e-03 2.003695815801620483e-03 4.921216750517487526e-04 1.157399266958236694e-03
1.100000000000000000e+04 2.462466247379779816e-03 5.066370940767228603e-04 9.440063731744885445e-04 1.823560334742069244e-03 5.066359299235045910e-04 9.440059075132012367e-04
1.200000000000000000e+04 2.275559352710843086e-03 4.763422475662082434e-04 8.160616271197795868e-04 1.756575307808816433e-03 4.763424803968518972e-04 8.160626748576760292e-04
1.300000000000000000e+04 2.148871775716543198e-03 4.365931672509759665e-04 7.297399570234119892e-04 1.713313278742134571e-03 4.365945351310074329e-04 7.297398406080901623e-04
1.400000000000000000e+04 2.061638515442609787e-03 3.932496474590152502e-04 6.648138514719903469e-04 1.670385128818452358e-03 3.932508698198944330e-04 6.648138514719903469e-04
1.500000000000000000e+04 1.997842919081449509e-03 3.529090608935803175e-04 6.144768558442592621e-04 1.625788747332990170e-03 3.529085079208016396e-04 6.144768558442592621e-04
1.600000000000000000e+04 1.943067531101405621e-03 3.220823418814688921e-04 5.729605327360332012e-04 1.586867845617234707e-03 3.220817015971988440e-04 5.729610566049814224e-04
1.700000000000000000e+04 1.887263148091733456e-03 3.181221545673906803e-04 5.327437538653612137e-04 1.564268255606293678e-03 3.181215142831206322e-04 5.327431717887520790e-04
1.800000000000000000e+04 1.844733022153377533e-03 2.822890528477728367e-04 5.092198261991143227e-04 1.524672261439263821e-03 2.822894311975687742e-04 5.092185456305742264e-04
1.900000000000000000e+04 1.804292201995849609e-03 2.600106818135827780e-04 4.866504168603569269e-04 1.491652103140950203e-03 2.600103616714477539e-04 4.866491071879863739e-04
2.000000000000000000e+04 1.764800050295889378e-03 2.434702182654291391e-04 4.653057258110493422e-04 1.461063628084957600e-03 2.434724447084590793e-04 4.653053474612534046e-04
